,Area Name,Occupational Code,Occupation,Naics Code,Industry,Year,Employment,Employment Relative Standard Error,Response Rate(%),Hourly wage; mean,Annual wage; mean,Wage Relative Standard Error,Hourly wage; 10th percentile,Hourly wage; 25th percentile,Hourly wage; median,Hourly wage; 75th percentile,Hourly wage; 90th percentile,Annual wage; 10th percentile,Annual wage; 25th percentile,Annual wage; median,Annual wage; 75th percentile,Annual wage; 90th percentile,NLP_Category
22,North Carolina,29-1211,Anesthesiologists,0,"Cross-industry, private, federal, state, and local",2022,700,25.5,4,$147.07,"$305,900",16.8,$46.01,$68.66,*,*,*,"$95,700","$142,820",*,*,*,Non Entry level and Tech
23,North Carolina,47-4031,Fence Erectors,0,"Cross-industry, private, federal, state, and local",2022,370,20.0,4,$19.33,"$40,210",4.9,$15.34,$15.91,$17.41,$22.99,$27.88,"$31,900","$33,100","$36,210","$47,820","$57,990",Entry level and Non-tech
24,North Carolina,35-3023,Fast Food and Counter Workers,0,"Cross-industry, private, federal, state, and local",2022,"63,890",3.5,5,$12.00,"$24,960",0.9,$8.77,$10.35,$11.39,$13.50,$15.46,"$18,250","$21,520","$23,700","$28,070","$32,170",Entry level and Non-tech
25,North Carolina,35-3011,Bartenders,0,"Cross-industry, private, federal, state, and local",2022,"15,710",5.6,5,$15.46,"$32,150",2.4,$8.33,$9.16,$12.35,$19.37,$24.45,"$17,320","$19,050","$25,690","$40,290","$50,860",Entry level and Non-tech
26,North Carolina,13-2052,Personal Financial Advisors,0,"Cross-industry, private, federal, state, and local",2022,"13,650",3.5,5,$63.79,"$132,680",4.0,$20.16,$30.88,$49.14,$80.21,$108.56,"$41,920","$64,230","$102,200","$166,840","$225,790",Non Entry level and Non-tech
27,North Carolina,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",0,"Cross-industry, private, federal, state, and local",2022,"7,610",4.0,5,$19.20,"$39,930",3.7,$9.84,$11.44,$16.43,$23.30,$34.88,"$20,470","$23,790","$34,180","$48,470","$72,560",Entry level and Non-tech
28,North Carolina,41-9022,Real Estate Sales Agents,0,"Cross-industry, private, federal, state, and local",2022,"6,760",23.7,5,$26.62,"$55,370",4.6,$14.00,$16.64,$22.38,$34.98,$45.31,"$29,120","$34,620","$46,550","$72,750","$94,240",Entry level and Non-tech
29,North Carolina,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,0,"Cross-industry, private, federal, state, and local",2022,"5,150",5.5,5,$15.00,"$31,190",1.5,$10.45,$13.30,$14.32,$17.51,$18.60,"$21,740","$27,660","$29,790","$36,420","$38,700",Entry level and Non-tech
30,North Carolina,41-9041,Telemarketers,0,"Cross-industry, private, federal, state, and local",2022,"4,580",13.2,5,$15.09,"$31,390",2.6,$11.69,$12.86,$13.89,$15.30,$19.75,"$24,310","$26,740","$28,900","$31,820","$41,090",Non Entry level and Non-tech
31,North Carolina,35-9099,"Food Preparation and Serving Related Workers, All Other",0,"Cross-industry, private, federal, state, and local",2022,"3,790",10.4,5,$12.81,"$26,640",4.0,$7.36,$9.06,$11.85,$15.49,$17.85,"$15,300","$18,830","$24,650","$32,220","$37,120",Entry level and Non-tech
32,North Carolina,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",0,"Cross-industry, private, federal, state, and local",2022,"3,350",9.5,5,$17.33,"$36,040",2.2,$12.91,$14.80,$16.96,$18.59,$22.23,"$26,860","$30,790","$35,280","$38,670","$46,230",Non Entry level and Tech
33,North Carolina,35-2015,"Cooks, Short Order",0,"Cross-industry, private, federal, state, and local",2022,"1,720",17.3,5,$12.02,"$25,000",2.7,$9.25,$9.50,$11.39,$13.21,$15.95,"$19,250","$19,760","$23,700","$27,480","$33,180",Non Entry level and Non-tech
34,North Carolina,37-3013,Tree Trimmers and Pruners,0,"Cross-industry, private, federal, state, and local",2022,"1,670",18.1,5,$18.69,"$38,880",7.9,$9.79,$16.39,$18.46,$22.61,$25.06,"$20,360","$34,100","$38,390","$47,030","$52,130",Entry level and Non-tech
35,North Carolina,49-9011,Mechanical Door Repairers,0,"Cross-industry, private, federal, state, and local",2022,300,24.8,5,$19.69,"$40,950",3.6,$13.32,$16.54,$20.02,$21.66,$23.82,"$27,710","$34,410","$41,640","$45,060","$49,540",Entry level and Non-tech
36,North Carolina,27-2091,"Disc Jockeys, Except Radio",0,"Cross-industry, private, federal, state, and local",2022,270,29.0,5,$16.79,*,7.2,$8.75,$10.94,$15.31,$17.81,$23.96,*,*,*,*,*,Non Entry level and Tech
37,North Carolina,45-4021,Fallers,0,"Cross-industry, private, federal, state, and local",2022,190,38.2,5,$21.03,"$43,740",3.9,$18.49,$20.00,$20.00,$22.08,$22.08,"$38,450","$41,600","$41,600","$45,930","$45,930",Entry level and Non-tech
38,North Carolina,47-2161,Plasterers and Stucco Masons,0,"Cross-industry, private, federal, state, and local",2022,160,30.9,5,$20.62,"$42,900",2.9,$15.42,$17.33,$21.08,$24.50,$24.50,"$32,070","$36,050","$43,840","$50,960","$50,960",Non Entry level and Non-tech
39,North Carolina,45-4029,"Logging Workers, All Other",0,"Cross-industry, private, federal, state, and local",2022,150,32.9,5,$18.07,"$37,580",10.2,$7.61,$14.19,$17.83,$20.95,$30.43,"$15,830","$29,510","$37,090","$43,570","$63,290",Entry level and Tech
40,North Carolina,29-1022,Oral and Maxillofacial Surgeons,0,"Cross-industry, private, federal, state, and local",2022,120,32.6,5,$195.66,"$406,970",21.8,$99.17,$109.51,*,*,*,"$206,270","$227,780",*,*,*,Non Entry level and Tech
41,North Carolina,21-1019,"Counselors, All Other",0,"Cross-industry, private, federal, state, and local",2022,*,40.0,6,$44.73,"$93,050",20.7,$20.38,$26.61,$59.27,$59.27,$64.30,"$42,390","$55,350","$123,280","$123,280","$133,750",Entry level and Non-tech
42,North Carolina,47-2072,Pile Driver Operators,0,"Cross-industry, private, federal, state, and local",2022,*,59.8,6,$20.53,"$42,690",7.0,$17.39,$18.08,$18.44,$24.16,$24.53,"$36,170","$37,600","$38,340","$50,250","$51,020",Non Entry level and Tech
43,North Carolina,41-2011,Cashiers,0,"Cross-industry, private, federal, state, and local",2022,"127,220",1.8,6,$12.11,"$25,190",0.4,$9.14,$10.35,$11.36,$13.55,$15.21,"$19,010","$21,530","$23,620","$28,180","$31,630",Entry level and Non-tech
44,North Carolina,41-3031,"Securities, Commodities, and Financial Services Sales Agents",0,"Cross-industry, private, federal, state, and local",2022,"16,840",3.2,6,$43.71,"$90,910",3.5,$18.83,$22.58,$32.44,$50.03,$82.29,"$39,170","$46,960","$67,480","$104,060","$171,160",Entry level and Non-tech
45,North Carolina,41-3021,Insurance Sales Agents,0,"Cross-industry, private, federal, state, and local",2022,"16,280",5.1,6,$33.64,"$69,980",3.8,$14.85,$17.99,$27.86,$38.37,$59.49,"$30,890","$37,420","$57,940","$79,820","$123,730",Entry level and Non-tech
46,North Carolina,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0,"Cross-industry, private, federal, state, and local",2022,"11,130",11.7,6,$57.25,"$119,090",2.8,$23.04,$32.43,$50.63,$71.65,$101.86,"$47,920","$67,460","$105,300","$149,040","$211,870",Entry level and Non-tech
47,North Carolina,25-2057,"Special Education Teachers, Middle School",0,"Cross-industry, private, federal, state, and local",2022,"2,570",12.3,6,*,"$52,950",1.6,*,*,*,*,*,"$38,270","$47,100","$51,310","$59,640","$64,570",Entry level and Non-tech
48,North Carolina,39-5094,Skincare Specialists,0,"Cross-industry, private, federal, state, and local",2022,"1,930",12.0,6,$27.45,"$57,100",9.7,$10.43,$16.31,$24.14,$37.36,$47.29,"$21,690","$33,910","$50,200","$77,710","$98,360",Non Entry level and Tech
49,North Carolina,21-1013,Marriage and Family Therapists,0,"Cross-industry, private, federal, state, and local",2022,960,20.3,6,$24.88,"$51,750",6.2,$18.23,$20.41,$22.68,$25.47,$39.16,"$37,920","$42,440","$47,180","$52,970","$81,440",Non Entry level and Tech
50,North Carolina,47-2171,Reinforcing Iron and Rebar Workers,0,"Cross-industry, private, federal, state, and local",2022,410,29.9,6,$21.53,"$44,780",5.6,$17.36,$19.02,$22.34,$23.73,$25.12,"$36,100","$39,570","$46,480","$49,360","$52,250",Non Entry level and Tech
51,North Carolina,19-3022,Survey Researchers,0,"Cross-industry, private, federal, state, and local",2022,300,15.2,6,$38.34,"$79,740",2.5,$25.17,$29.99,$37.67,$40.30,$49.70,"$52,360","$62,370","$78,340","$83,820","$103,370",Non Entry level and Tech
52,North Carolina,29-1241,"Ophthalmologists, Except Pediatric",0,"Cross-industry, private, federal, state, and local",2022,160,39.7,6,$77.01,"$160,180",15.7,$29.40,$38.40,$66.27,$109.87,*,"$61,150","$79,880","$137,840","$228,530",*,Non Entry level and Tech
53,North Carolina,39-4011,Embalmers,0,"Cross-industry, private, federal, state, and local",2022,40,45.9,6,$27.15,"$56,470",3.3,$18.96,$22.81,$24.40,$30.23,$36.23,"$39,430","$47,440","$50,750","$62,870","$75,350",Entry level and Non-tech
54,North Carolina,35-0000,Food Preparation and Serving Related Occupations,0,"Cross-industry, private, federal, state, and local",2022,"403,490",0.6,7,$13.55,"$28,190",0.8,$8.71,$10.19,$12.55,$14.84,$19.94,"$18,120","$21,200","$26,100","$30,870","$41,480",Entry level and Non-tech
55,North Carolina,15-1252,Software Developers,0,"Cross-industry, private, federal, state, and local",2022,"57,690",1.9,7,$60.40,"$125,630",1.6,$35.07,$46.93,$60.83,$68.75,$84.69,"$72,940","$97,610","$126,520","$143,000","$176,160",Non Entry level and Tech
56,North Carolina,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,0,"Cross-industry, private, federal, state, and local",2022,"40,440",2.7,7,$18.89,"$39,280",1.3,$12.29,$14.24,$17.52,$22.36,$27.82,"$25,550","$29,630","$36,440","$46,510","$57,860",Entry level and Non-tech
57,North Carolina,47-2061,Construction Laborers,0,"Cross-industry, private, federal, state, and local",2022,"31,600",2.8,7,$17.67,"$36,760",0.8,$13.37,$14.82,$17.46,$18.99,$22.52,"$27,810","$30,830","$36,310","$39,490","$46,850",Entry level and Tech
58,North Carolina,39-9011,Childcare Workers,0,"Cross-industry, private, federal, state, and local",2022,"10,480",5.8,7,$13.00,"$27,030",1.0,$9.82,$10.45,$12.87,$14.56,$16.34,"$20,430","$21,730","$26,770","$30,290","$33,990",Entry level and Non-tech
59,North Carolina,43-4081,"Hotel, Motel, and Resort Desk Clerks",0,"Cross-industry, private, federal, state, and local",2022,"8,320",5.0,7,$12.95,"$26,930",1.1,$10.43,$10.95,$13.07,$13.80,$16.34,"$21,690","$22,770","$27,180","$28,710","$33,990",Entry level and Non-tech
60,North Carolina,11-9051,Food Service Managers,0,"Cross-industry, private, federal, state, and local",2022,"7,330",5.3,7,$31.77,"$66,080",2.8,$21.23,$24.20,$29.56,$36.62,$46.17,"$44,150","$50,340","$61,480","$76,180","$96,030",Entry level and Non-tech
61,North Carolina,29-1292,Dental Hygienists,0,"Cross-industry, private, federal, state, and local",2022,"6,560",4.8,7,$37.73,"$78,470",0.9,$31.19,$36.39,$38.08,$39.53,$44.45,"$64,860","$75,690","$79,200","$82,210","$92,460",Entry level and Non-tech
62,North Carolina,47-3013,Helpers--Electricians,0,"Cross-industry, private, federal, state, and local",2022,"5,930",5.8,7,$17.19,"$35,760",1.0,$13.97,$15.04,$17.35,$18.15,$21.56,"$29,060","$31,280","$36,080","$37,760","$44,830",Entry level and Non-tech
63,North Carolina,25-2032,"Career/Technical Education Teachers, Secondary School",0,"Cross-industry, private, federal, state, and local",2022,"4,150",10.9,7,*,"$52,620",1.2,*,*,*,*,*,"$41,280","$47,450","$50,500","$58,780","$61,600",Non Entry level and Tech
64,North Carolina,29-1021,"Dentists, General",0,"Cross-industry, private, federal, state, and local",2022,"3,570",6.3,7,$97.38,"$202,550",3.2,$50.28,$63.92,$87.30,*,*,"$104,570","$132,960","$181,590",*,*,Entry level and Non-tech
65,North Carolina,29-2056,Veterinary Technologists and Technicians,0,"Cross-industry, private, federal, state, and local",2022,"3,420",6.9,7,$18.52,"$38,530",1.7,$13.62,$15.30,$18.01,$21.60,$23.00,"$28,340","$31,830","$37,450","$44,930","$47,830",Non Entry level and Tech
66,North Carolina,41-9031,Sales Engineers,0,"Cross-industry, private, federal, state, and local",2022,"2,370",31.6,7,$56.56,"$117,640",6.2,$35.32,$43.03,$48.47,$66.60,$85.49,"$73,460","$89,510","$100,810","$138,530","$177,820",Entry level and Non-tech
67,North Carolina,47-2221,Structural Iron and Steel Workers,0,"Cross-industry, private, federal, state, and local",2022,"1,630",17.9,7,$23.43,"$48,740",1.5,$18.08,$21.94,$23.88,$25.68,$27.59,"$37,600","$45,640","$49,670","$53,410","$57,400",Non Entry level and Tech
68,North Carolina,25-2023,"Career/Technical Education Teachers, Middle School",0,"Cross-industry, private, federal, state, and local",2022,"1,030",11.9,7,*,"$54,180",1.7,*,*,*,*,*,"$39,570","$47,540","$52,550","$59,930","$65,360",Non Entry level and Tech
69,North Carolina,47-3012,Helpers--Carpenters,0,"Cross-industry, private, federal, state, and local",2022,890,17.6,7,$16.93,"$35,200",2.7,$11.62,$14.80,$16.85,$18.70,$21.88,"$24,180","$30,770","$35,050","$38,890","$45,520",Entry level and Non-tech
70,North Carolina,47-5023,"Earth Drillers, Except Oil and Gas",0,"Cross-industry, private, federal, state, and local",2022,550,13.9,7,$23.73,"$49,350",4.1,$15.91,$17.84,$22.51,$27.30,$36.01,"$33,100","$37,100","$46,820","$56,780","$74,900",Non Entry level and Tech
71,North Carolina,47-2043,Floor Sanders and Finishers,0,"Cross-industry, private, federal, state, and local",2022,430,18.3,7,$19.08,"$39,680",3.5,$13.69,$15.04,$19.55,$22.10,$23.62,"$28,480","$31,280","$40,670","$45,970","$49,120",Entry level and Non-tech
72,North Carolina,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0,"Cross-industry, private, federal, state, and local",2022,420,27.0,7,$18.01,"$37,450",8.0,$10.33,$11.43,$12.71,$18.74,$31.72,"$21,490","$23,760","$26,440","$38,990","$65,980",Entry level and Non-tech
73,North Carolina,11-9081,Lodging Managers,0,"Cross-industry, private, federal, state, and local",2022,320,27.5,7,$26.85,"$55,850",13.4,$15.43,$16.62,$22.11,$38.20,$41.09,"$32,090","$34,560","$45,990","$79,450","$85,470",Non Entry level and Non-tech
74,North Carolina,29-1213,Dermatologists,0,"Cross-industry, private, federal, state, and local",2022,320,22.7,7,$173.94,"$361,800",11.2,$86.63,$105.23,*,*,*,"$180,190","$218,880",*,*,*,Non Entry level and Tech
75,North Carolina,29-1222,"Physicians, Pathologists",0,"Cross-industry, private, federal, state, and local",2022,200,37.9,7,*,*,10.1,*,*,*,*,*,*,*,*,*,*,Non Entry level and Tech
76,North Carolina,29-1291,Acupuncturists,0,"Cross-industry, private, federal, state, and local",2022,160,35.0,7,*,*,8.4,*,*,*,*,*,*,*,*,*,*,Entry level and Non-tech
77,North Carolina,51-8091,Chemical Plant and System Operators,0,"Cross-industry, private, federal, state, and local",2022,130,22.3,7,$31.42,"$65,360",4.1,$19.35,$20.57,$31.67,$38.02,$40.96,"$40,250","$42,780","$65,870","$79,090","$85,200",Non Entry level and Tech
78,North Carolina,00-0000,"Total, All Occupations",0,"Cross-industry, private, federal, state, and local",2022,"4,647,520",0.0,8,$27.03,"$56,220",0.2,$11.04,$14.42,$20.10,$30.74,$49.42,"$22,960","$29,990","$41,810","$63,940","$102,800",Non Entry level and Tech
79,North Carolina,41-0000,Sales and Related Occupations,0,"Cross-industry, private, federal, state, and local",2022,"466,980",0.7,8,$22.91,"$47,660",1.2,$10.24,$11.79,$15.57,$25.65,$43.90,"$21,300","$24,520","$32,380","$53,340","$91,300",Entry level and Non-tech
80,North Carolina,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",0,"Cross-industry, private, federal, state, and local",2022,"19,870",8.2,8,*,"$50,450",1.0,*,*,*,*,*,"$38,070","$46,090","$48,790","$58,200","$61,710",Entry level and Non-tech
81,North Carolina,41-2021,Counter and Rental Clerks,0,"Cross-industry, private, federal, state, and local",2022,"16,460",2.6,8,$17.62,"$36,640",1.3,$10.21,$12.83,$16.93,$20.84,$26.90,"$21,230","$26,690","$35,210","$43,350","$55,940",Entry level and Non-tech
82,North Carolina,25-2011,"Preschool Teachers, Except Special Education",0,"Cross-industry, private, federal, state, and local",2022,"16,380",4.1,8,$15.36,"$31,950",1.2,$10.72,$13.13,$14.28,$17.11,$21.19,"$22,290","$27,310","$29,710","$35,600","$44,080",Entry level and Non-tech
83,North Carolina,47-2031,Carpenters,0,"Cross-industry, private, federal, state, and local",2022,"14,710",5.4,8,$21.26,"$44,220",1.0,$14.41,$17.58,$21.63,$24.14,$27.97,"$29,980","$36,570","$44,980","$50,220","$58,170",Non Entry level and Tech
84,North Carolina,31-9091,Dental Assistants,0,"Cross-industry, private, federal, state, and local",2022,"11,990",3.8,8,$21.95,"$45,650",1.6,$16.39,$18.39,$22.18,$23.55,$29.30,"$34,090","$38,260","$46,140","$48,980","$60,950",Entry level and Non-tech
85,North Carolina,43-3071,Tellers,0,"Cross-industry, private, federal, state, and local",2022,"8,900",3.6,8,$18.14,"$37,730",1.1,$14.24,$16.08,$17.36,$19.06,$23.01,"$29,630","$33,450","$36,110","$39,640","$47,850",Non Entry level and Non-tech
86,North Carolina,31-9097,Phlebotomists,0,"Cross-industry, private, federal, state, and local",2022,"5,720",23.1,8,$18.40,"$38,270",1.8,$14.66,$16.64,$17.82,$20.44,$22.16,"$30,490","$34,610","$37,070","$42,520","$46,080",Non Entry level and Tech
87,North Carolina,43-6012,Legal Secretaries and Administrative Assistants,0,"Cross-industry, private, federal, state, and local",2022,"3,840",8.1,8,$20.51,"$42,670",5.6,$12.00,$13.68,$17.89,$25.00,$35.46,"$24,960","$28,450","$37,210","$52,000","$73,750",Entry level and Non-tech
88,North Carolina,51-3021,Butchers and Meat Cutters,0,"Cross-industry, private, federal, state, and local",2022,"3,740",8.5,8,$17.10,"$35,560",2.1,$11.25,$13.61,$17.25,$19.38,$21.89,"$23,400","$28,310","$35,880","$40,320","$45,530",Entry level and Non-tech
89,North Carolina,49-2098,Security and Fire Alarm Systems Installers,0,"Cross-industry, private, federal, state, and local",2022,"2,270",7.1,8,$23.69,"$49,270",2.2,$17.07,$18.99,$23.32,$28.82,$31.23,"$35,500","$39,500","$48,510","$59,950","$64,960",Entry level and Non-tech
90,North Carolina,11-9031,"Education and Childcare Administrators, Preschool and Daycare",0,"Cross-industry, private, federal, state, and local",2022,"2,200",6.1,8,$23.24,"$48,330",2.4,$15.36,$17.79,$22.10,$26.88,$33.44,"$31,960","$37,000","$45,980","$55,910","$69,550",Entry level and Non-tech
91,North Carolina,31-9011,Massage Therapists,0,"Cross-industry, private, federal, state, and local",2022,"1,990",10.5,8,$30.74,"$63,940",8.1,$15.61,$22.95,$26.52,$36.98,$52.08,"$32,470","$47,730","$55,170","$76,920","$108,330",Entry level and Non-tech
92,North Carolina,31-9095,Pharmacy Aides,0,"Cross-industry, private, federal, state, and local",2022,"1,360",8.5,8,$17.03,"$35,430",2.2,$11.81,$13.44,$17.95,$19.49,$22.35,"$24,560","$27,950","$37,330","$40,530","$46,480",Entry level and Non-tech
93,North Carolina,49-9031,Home Appliance Repairers,0,"Cross-industry, private, federal, state, and local",2022,"1,070",15.4,8,$22.63,"$47,070",7.6,$13.25,$16.66,$22.36,$29.03,$31.31,"$27,560","$34,640","$46,500","$60,370","$65,120",Entry level and Non-tech
94,North Carolina,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",0,"Cross-industry, private, federal, state, and local",2022,980,19.1,8,$18.92,"$39,350",3.4,$13.50,$14.97,$17.72,$22.61,$24.83,"$28,080","$31,140","$36,860","$47,020","$51,650",Entry level and Non-tech
95,North Carolina,49-2097,Audiovisual Equipment Installers and Repairers,0,"Cross-industry, private, federal, state, and local",2022,910,17.8,8,$20.29,"$42,190",5.9,$13.88,$15.00,$19.33,$22.68,$25.48,"$28,880","$31,190","$40,210","$47,170","$52,990",Non Entry level and Tech
96,North Carolina,29-1011,Chiropractors,0,"Cross-industry, private, federal, state, and local",2022,870,11.3,8,$44.58,"$92,720",5.7,$19.65,$30.39,$38.21,$47.92,$65.04,"$40,870","$63,200","$79,470","$99,670","$135,280",Non Entry level and Tech
97,North Carolina,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",0,"Cross-industry, private, federal, state, and local",2022,860,10.2,8,$17.06,"$35,480",4.2,$8.10,$13.36,$17.44,$21.48,$24.55,"$16,840","$27,790","$36,270","$44,670","$51,070",Non Entry level and Tech
98,North Carolina,21-2099,"Religious Workers, All Other",0,"Cross-industry, private, federal, state, and local",2022,490,9.6,8,$15.36,"$31,960",3.3,$9.92,$13.57,$14.83,$17.53,$22.43,"$20,630","$28,230","$30,840","$36,470","$46,650",Non Entry level and Tech
99,North Carolina,47-2041,Carpet Installers,0,"Cross-industry, private, federal, state, and local",2022,340,18.3,8,$16.83,"$35,010",4.1,$11.16,$14.21,$16.95,$19.14,$21.11,"$23,210","$29,560","$35,250","$39,800","$43,920",Entry level and Non-tech
100,North Carolina,51-9082,Medical Appliance Technicians,0,"Cross-industry, private, federal, state, and local",2022,260,33.3,8,$23.48,"$48,830",3.4,$15.64,$18.31,$21.36,$26.89,$29.27,"$32,540","$38,080","$44,420","$55,930","$60,870",Non Entry level and Tech
